ablation,audio_richness_spectral_flatness,audio_richness_spectral_entropy,noise_floor_db,audio_onsets,yt_coverage_score,yt_sync_score,yt_coverage_and_sync_coverage_score,yt_coverage_and_sync_sync_score,cinematic_dynamic_range_db,cinematic_spectral_flatness,cinematic_crest_factor,cinematic_spectral_entropy,cinematic_spectral_centroid_hz
decide_model_gemini-2.5-flash,0.026090953474999998,4.3918613055555555,-43.93873819444445,76.97222222222223,20.48951819808333,0.002362559495489833,20.48951819808333,0.00014311723567712778,104.3288216913889,0.026090953724027775,10.59217833875,4.391861312888889,2029.8095288333332
toggle_fill_coverage_by_llm,0.021126264117142857,4.424067085714286,-38.9626124,74.62857142857143,21.1826427546,8.995142857233427e-13,21.1826427546,5.627142857199428e-14,91.56281303828573,0.021126264080999997,10.161044845428572,4.424067088571429,2035.0727035142856
toggle_use_avg_llm_and_dsp_to_predict_align,0.023884599058620688,4.401240210344828,-41.1691385862069,76.03448275862068,23.37164750965517,2.8016896593896552e-14,23.37164750965517,1.7510344853931033e-15,97.27374615206897,0.023884599063655178,10.887974366275863,4.401240209068965,2087.0894472068967
toggle_use_dl_based_llm_and_dsp_alignment_predictor,0.02161928104827586,4.417654396551724,-43.23879562068965,73.0,19.571826640724137,0.0016578249337931034,19.571826640724137,0.00010361405834482757,102.59814806034484,0.02161928117672414,10.721401965689653,4.417654391,2071.7907436206897
toggle_use_dsp,0.03407550878000001,4.44240339142857,-45.54019245714286,72.6,22.343743558571433,0.00023041474723714287,22.343743558571433,1.4400921703428569e-05,107.93067184285714,0.034075508786800005,11.837781968742858,4.442403405085715,2039.7808731999996
toggle_use_dsp_to_predict_align,0.028041304053333334,4.4715587999999995,-46.267402100000005,77.73333333333333,19.833453584033332,0.0021482610662127,19.833453584033332,0.00013426631663911067,109.58386029966667,0.028041304088600002,11.572651634700001,4.471558801333333,2066.3036564999998
toggle_use_llm_to_predict_align,0.05715372729333334,4.552328286666667,-49.11759323333333,72.33333333333333,21.869167869699996,0.00010964912294333334,21.869167869699996,6.853070185633333e-06,117.62279560466665,0.057153726649566666,11.638761290766666,4.552328284633334,1917.270505713334
toggle_use_movie_bgms,0.02429685784375,4.4805360343750005,-41.03968740625,73.25,17.3526560253125,6.156250434187501e-33,17.3526560253125,3.8437502704375e-34,96.56865706031249,0.024296858029062503,10.429743969937501,4.48053600640625,1997.4784017812499
toggle_use_narrator,0.02566333954193548,4.278821590322581,-42.8053094516129,73.61290322580645,19.955313503903223,0.0008488964346687097,19.955313503903223,5.3056027170825805e-05,100.9786917464516,0.02566333952403226,9.919276323161291,4.278821576,2062.135552677419
BackgroundMellow_baseline,0.03715438106153847,4.436763532051283,-43.8385553974359,77.98717948717949,23.634606135153845,0.005455482606589744,23.634606135153845,0.0003179871711538462,103.36814873743589,0.0371543812839359,11.048259481602564,4.436763515794872,2063.629041538461
AudioLDM2,0.00012760629361538463,3.533760576923077,-29.459296451282054,16.564102564102566,14.10663411,0.001010797609,,,68.15258153672741,0.00012760629357588726,7.760526966429538,3.533760572091127,1322.1115849401285
tango2,0.00027278847333333335,5.599762702564103,-1.5477093,63.205128205128204,17.95288045,0.001997531917,,,9.406179447266235,0.0002727884734317641,2.090114522982358,5.599762720939441,2686.8533026314076
