ablation,audio_richness_spectral_flatness,audio_richness_spectral_entropy,noise_floor_db,audio_onsets,yt_coverage_score,yt_sync_score,yt_coverage_and_sync_coverage_score,yt_coverage_and_sync_sync_score,cinematic_dynamic_range_db,cinematic_spectral_flatness,cinematic_crest_factor,cinematic_spectral_entropy,cinematic_spectral_centroid_hz
decide_model_gemini-2.5-flash,26.090953475,0.43918613055555555,1.0984684548611112,0.7697222222222223,20.48951819808333,0.002362559495489833,20.48951819808333,0.00014311723567712778,1.043288216913889,26.090953724027774,0.7061452225833332,0.4391861312888889,0.6766031762777777
toggle_fill_coverage_by_llm,21.126264117142856,0.44240670857142866,0.97406531,0.7462857142857143,21.1826427546,8.995142857233427e-13,21.1826427546,5.627142857199428e-14,0.9156281303828573,21.126264081,0.6774029896952382,0.44240670885714295,0.6783575678380952
toggle_use_avg_llm_and_dsp_to_predict_align,23.884599058620687,0.44012402103448284,1.0292284646551726,0.7603448275862068,23.37164750965517,2.8016896593896552e-14,23.37164750965517,1.7510344853931033e-15,0.9727374615206897,23.884599063655177,0.7258649577517242,0.44012402090689656,0.6956964824022989
toggle_use_dl_based_llm_and_dsp_alignment_predictor,21.61928104827586,0.4417654396551724,1.0809698905172413,0.73,19.571826640724137,0.0016578249337931034,19.571826640724137,0.00010361405834482757,1.0259814806034484,21.61928117672414,0.7147601310459768,0.44176543910000005,0.6905969145402299
toggle_use_dsp,34.075508780000014,0.44424033914285704,1.1385048114285714,0.726,22.343743558571433,0.00023041474723714287,22.343743558571433,1.4400921703428569e-05,1.0793067184285714,34.07550878680001,0.7891854645828572,0.44424034050857153,0.6799269577333332
toggle_use_dsp_to_predict_align,28.041304053333334,0.44715587999999995,1.1566850525,0.7773333333333333,19.833453584033332,0.0021482610662127,19.833453584033332,0.00013426631663911067,1.0958386029966667,28.0413040886,0.77151010898,0.4471558801333333,0.6887678854999999
toggle_use_llm_to_predict_align,57.15372729333334,0.4552328286666667,1.2279398308333334,0.7233333333333333,21.869167869699996,0.00010964912294333334,21.869167869699996,6.853070185633333e-06,1.1762279560466664,57.153726649566664,0.7759174193844445,0.4552328284633334,0.6390901685711113
toggle_use_movie_bgms,24.296857843749997,0.44805360343750006,1.0259921851562501,0.7325,17.3526560253125,6.156250434187501e-33,17.3526560253125,3.8437502704375e-34,0.9656865706031249,24.296858029062502,0.6953162646625001,0.448053600640625,0.6658261339270832
toggle_use_narrator,25.66333954193548,0.4278821590322581,1.0701327362903226,0.7361290322580645,19.955313503903223,0.0008488964346687097,19.955313503903223,5.3056027170825805e-05,1.009786917464516,25.66333952403226,0.6612850882107527,0.42788215760000003,0.6873785175591397
BackgroundMellow_baseline,37.154381061538466,0.4436763532051283,1.0959638849358975,0.7798717948717949,23.634606135153845,0.005455482606589744,23.634606135153845,0.0003179871711538462,1.033681487374359,37.154381283935905,0.7365506321068376,0.4436763515794872,0.687876347179487
AudioLDM2,0.12760629361538464,0.35337605769230773,0.7364824112820514,0.16564102564102565,14.10663411,0.001010797609,,,0.6815258153672741,0.12760629357588726,0.5173684644286358,0.3533760572091127,0.4407038616467095
tango2,0.27278847333333334,0.5599762702564103,0.0386927325,0.632051282051282,17.95288045,0.001997531917,,,0.09406179447266234,0.2727884734317641,0.13934096819882388,0.5599762720939441,0.8956177675438025
