ablation,prompts_won_strict,prompts_won_fractional,win_rate_strict,win_rate_fractional,beats_baseline_count,beats_baseline_rate
toggle_use_dsp,5,5.0,0.1724137931034483,0.1724137931034483,16.0,0.5517241379310345
decide_model_gemini-2.5-flash,4,4.0,0.13793103448275862,0.13793103448275862,17.0,0.5862068965517241
toggle_use_avg_llm_and_dsp_to_predict_align,4,4.0,0.13793103448275862,0.13793103448275862,15.0,0.5172413793103449
toggle_use_dl_based_llm_and_dsp_alignment_predictor,3,3.0,0.10344827586206896,0.10344827586206896,16.0,0.5517241379310345
toggle_use_dsp_to_predict_align,3,3.0,0.10344827586206896,0.10344827586206896,17.0,0.5862068965517241
toggle_use_movie_bgms,3,3.0,0.10344827586206896,0.10344827586206896,14.0,0.4827586206896552
baseline,2,2.0,0.06896551724137931,0.06896551724137931,,
toggle_fill_coverage_by_llm,2,2.0,0.06896551724137931,0.06896551724137931,13.0,0.4482758620689655
toggle_use_llm_to_predict_align,2,2.0,0.06896551724137931,0.06896551724137931,14.0,0.4827586206896552
toggle_use_narrator,1,1.0,0.034482758620689655,0.034482758620689655,12.0,0.41379310344827586
tango2,0,0.0,0.0,0.0,0.0,0.0
AudioLDM2,0,0.0,0.0,0.0,0.0,0.0
