ablation,prompts_won_strict,prompts_won_fractional,win_rate_strict,win_rate_fractional
toggle_use_llm_to_predict_align,2,3.8452380952380953,0.07142857142857142,0.13732993197278912
BackgroundMellow_baseline,2,3.5690476190476192,0.07142857142857142,0.12746598639455783
AudioLDM2,2,3.0761904761904764,0.07142857142857142,0.1098639455782313
tango2,1,2.9452380952380954,0.03571428571428571,0.10518707482993198
toggle_use_dsp_to_predict_align,1,2.8190476190476192,0.03571428571428571,0.10068027210884355
toggle_use_dl_based_llm_and_dsp_alignment_predictor,1,2.592857142857143,0.03571428571428571,0.09260204081632653
toggle_use_dsp,1,2.319047619047619,0.03571428571428571,0.08282312925170067
decide_model_gemini-2.5-flash,1,2.0095238095238095,0.03571428571428571,0.0717687074829932
toggle_use_avg_llm_and_dsp_to_predict_align,0,1.9023809523809523,0.0,0.0679421768707483
toggle_use_movie_bgms,0,1.176190476190476,0.0,0.04200680272108843
toggle_use_narrator,0,1.176190476190476,0.0,0.04200680272108843
toggle_fill_coverage_by_llm,0,0.569047619047619,0.0,0.02032312925170068
